Top values of organization.name,Top values of network.application,Top values of source.ip,Top values of url.original,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Brainchip Inc,web-browsing,10.129.3.236,atlassian.et.e.sparkpost.com/q/MtLrHPp4JWTwXL5Ncs6aWg~~/AAAAAQA~/RgRjcOxiPlcLYXRsYXNzaWFudXNCCmGMYmeOYStxQEVSFG1jaGVuZ0BicmFpbmNoaXAuY29tWAQAAAAE,1,,,
Crystal Management,web-browsing,10.129.3.239,atlassian-icons.woff,3,,,
Crystal Management,web-browsing,10.55.12.132,atlassian-slack-integration.services.atlassian.com/gas.js,2,,,
Crystal Management,web-browsing,10.55.13.162,atlassian-slack-integration.services.atlassian.com/GetConnected,1,,,
Crystal Management,web-browsing,10.55.12.131,atlassian-slack-integration.services.atlassian.com/LoginSuccess,1,,,
Crystal Management,web-browsing,172.30.16.101,atlassian-slack-integration.services.atlassian.com/api/slack/login?source=apps-menu,1,,,
Crystal Management,web-browsing,172.25.81.34,atlassian-slack-integration.services.atlassian.com/api/slack/login?source=switcher,1,,,
Crystal Management,web-browsing,172.25.88.201,"atlassian-slack-integration.services.atlassian.com/api/slack/oauth?code=2667704687121.2827894136756.e7e4b6c3aabbf2a92064ee5a43f88c5ff6de8723c49357ff554741f3ebb5d856&state={""source"":""switcher"",""state"":""8eadd4292c4c236bf8016c784079c14fb18a25ebe69bcf548cbea7290759b533""}",1,,,
Crystal Management,web-browsing,172.25.97.112,atlassian-slack-integration.services.atlassian.com/css-reset.css,1,,,
Crystal Management,web-browsing,172.25.103.242,atlassian-slack-integration.services.atlassian.com/login,1,,,
Crystal Management,web-browsing,10.152.253.33,atlassian-slack-integration.services.atlassian.com/reduced-ui-pack.css,1,,,
Crystal Management,web-browsing,10.220.11.105,atlassian-slack-integration.services.atlassian.com/style.css,1,,,
Crystal Management,web-browsing,10.51.255.125,atlassian-slack-integration.services.atlassian.com/verify?code=KkI40IaAHmuv61_S&state=9a554b12-3414-4af3-ad08-48c9eae12850,1,,,
Crystal Management,web-browsing,10.51.255.150,atlassian-slack-integration.services.atlassian.com/verify?error=login_required&error_description=Login%20required&state=9a554b12-3414-4af3-ad08-48c9eae12850,1,,,
Crystal Management,web-browsing,172.25.81.152,atlassian-desktop-companion-1.3.1-full.nupkg,1,,,
Crystal Management,web-browsing,172.25.96.86,atlassian-icons.woff,1,,,
Crystal Management,confluence-base,10.10.3.57,atlassian-icons.woff,1,,,
WelbeHealth,ssl,10.10.3.62,atlassianblog.wpengine.com/,15,,,
I.E. Shaffer & Co.,ssl,10.7.12.118,atlassianblog.wpengine.com/,12,,,
Versiant,ssl,172.16.8.94,atlassian-slack-integration.services.atlassian.com/,4,,,
Versiant,ssl,10.0.60.16,atlassian-slack-integration.services.atlassian.com/,2,,,
Versiant,ssl,10.0.60.39,atlassian-slack-integration.services.atlassian.com/,1,,,
Versiant,ssl,10.0.0.132,atlassian-slack-integration.services.atlassian.com/,1,,,
Versiant,ssl,10.0.1.54,atlassian-slack-integration.services.atlassian.com/,1,,,
Versiant,ssl,10.110.0.42,atlassian-slack-integration.services.atlassian.com/,1,,,
Visser Precision,ssl,10.1.9.42,atlassian.net/,4,,,
Visser Precision,ssl,192.168.20.145,atlassian.net/,4,,,
Visser Precision,ssl,10.9.8.179,atlassian.net/,1,,,
Mountaineer Holdings,ssl,10.9.9.151,atlassian.net/,8,,,
PadInMotion Inc,web-browsing,10.0.0.249,atlassian-icons.woff,5,,,
PadInMotion Inc,web-browsing,10.3.12.33,atlassian-icons.woff,1,,,
PadInMotion Inc,web-browsing,172.16.18.28,atlassian-icons.woff,1,,,
PadInMotion Inc,web-browsing,10.1.100.121,atlassian-icons.woff,1,,,
Town of Mooresville,ssl,,atlassian.net/,4,,,
Town of Mooresville,ssl,,atlassian.net/,4,,,
Corvid Cyberdefense,web-browsing,,atlassian.net/SetCST?cst=&anonymousId=587cfdd3-6db3-4421-96a7-a5cb1d54ae80&continue=https://auth.atlassian.com/v2/logout?returnTo=https:/id.atlassian.com/redirect?continue=https%3A/trello.com/logout?dsc%3Dfb23410cad03c6ca9346f60cf67f5dfe544b13afc4a927125727c34f8d69d9a6&client_id=tDP5by46cc3gEck7d2vbHZsqsfrDK6t9,2,,,
Corvid Cyberdefense,web-browsing,,atlassian.net/SetCST?cst=eyJjdHkiOiJqc29uK2NzdCIsImVuYyI6IkEyNTZHQ00iLCJhbGciOiJSU0EtT0FFUC0yNTYifQ.W_-0EvjNs3dPeD4w0y2J5Cm4SaCWD3b3cGeT6knSoACnz61dzzBHzeQDvftbpSJmI9xjvTGnl3M_V1gN36axY9_0g8KjX7Ey7GEimj1_b6WFQiQPdr_C8GU2g6P2qPHrHUZohgk0syCQhZckX_bNtckuCmAY-41nmI8CaAvc7068aevXf5N78IqyiwngK5VagvTufdJmdv0hzcPpUhXHCkPCEh_X76NfORBW-Fyf1EffbG-Y4C5MHoKEIzvZe1EhvxVQn97pK33A1bC-BAQKij8yNU6sTkntaq8-RZbidcL3FADidN0Z0kmqWi6B7mZx5d3Pr2P_2L4DmeRGbSO_FQ.JE1VVPygHkBbnb_C.shtTpS7wOahe4syk_7vMUi4yjvXTpCpPe581Bb2fOC54Ad_VDupqeC6mvu_eRs7rQyjytktmY9jo0DozbWmwWvy06Bn4VPwpIYRaRL0fuS7vQkEN33u53L9UI2fYYy2sdxSKkrMASiS5aCZR75V0CdtsujZQuXxkkgKLLLGrYYfFp0K96aSjuo_tns2kavGM6X7tAKXV4YzKuddMSa2ZVklkC0SC6pQkc4vwbngrD2aJGJvHuIaK8cOuI2NuTtxV3pgTEIdDiTVzvK5v6FP6a1yA7BkBBN8_J-VpPBNqNpJ-g3PpKrHoy6a7cqBfWu_ZoiwZE3m3D1aBTZQamVGzb8kbZzyoccKZbb10uFMc28SjoSbUM91VYBZ_ssPtUtXZEY092W2z4zJ38EXLZhmn-zkOb0wbvq9reUcYXWTPt2PSXSLlNH1qxkJrFHfdmwkyYOMV-yZqaspacVxs8u_MRU-aZI8NfJd4TXMLtUycyKru66uVC1nvbd8ZcY-pKmSAFKFtTRwj2ffTOYnhCjTNg7ozhO2kKuPJD-XDZOLk4NojyMhdnWu,2,,,
Corvid Cyberdefense,web-browsing,,atlassian-icons.woff,1,,,
Corvid Cyberdefense,web-browsing,,atlassian.com/,1,,,
Corvid Cyberdefense,slack-base,,atlassian_banner.png,1,,,
Company Combo,web-browsing,,atlassian-icons.woff,5,,,
Company Combo,web-browsing,,atlassian-icons.woff,1,,,
Biz Technology Solutions,confluence-base,,atlassian-icons.woff,1,,,
Biz Technology Solutions,confluence-base,,atlassian-icons.woff,1,,,
Biz Technology Solutions,ssl,,atlassian.net/,2,,,
Biz Technology Solutions,web-browsing,,atlassian-icons.woff,1,,,
Boyd Corp,ssl,,atlassian.net/,2,,,
Boyd Corp,ssl,,atlassian.net/,2,,,
Boyd Corp,http-proxy,,atlassian.net:443/,1,,,
Cypher,ssl,,atlassian.net/,2,,,
Cypher,ssl,,atlassian.net/,2,,,
Schiffmans Jewelers,ssl,,atlassian.net/,4,,,
Stevens Aerospace,ssl,,atlassian.net/,4,,,
Moran Logistics,ssl,,atlassianblog.wpengine.com/,3,,,
Barr Brands,ssl,,atlassian.net/,2,,,
Belk Gambrell Enterprises,ssl,,atlassian.net/,2,,,
Cabarrus County,web-browsing,,atlassian-icons.woff,1,,,N/A 
Cabarrus County,web-browsing,,atlassian-icons.woff,1,,,ITSCDHENDRIX
"Wolfe, Inc.",ssl,,atlassian.net/,2,,,
Corvid Technologies,ssl,,atlassian-account-prod.guardian.pus2.auth0.com/,1,,,
Neal and Harwell,ssl,,atlassian-outlook-integr.services.atlassian.com/,1,,,
ReNew Petra,ssl,,atlassian-outlook-integr.services.atlassian.com/,1,,,
